Sistema,Remitente,Identificador,2025-08-26
Almazán-1,windcubeinsights@vaisala.info,WLS71516,0
Almazán-4B,windcubeinsights@vaisala.info,WLS7-227,0
Almodôvar 5,windcubeinsights@vaisala.info,WLS71487,0
Altkalen-Lelkendorf ,windcubeinsights@vaisala.info,WLS71628,0
Ankum,windcubeinsights@vaisala.info,WLS72102,0
ANVO-A,windcubeinsights@vaisala.info,WLS72051,0
Arrebol,windcubeinsights@vaisala.info,WLS71585,0
Baccum,windcubeinsights@vaisala.info,WLS72099,0
Balve,windcubeinsights@vaisala.info,WLS72237,0
CARC-A,windcubeinsights@vaisala.info,WLS72066,0
Carril,windcubeinsights@vaisala.info,WLS72116,0
Cerecol II ,windcubeinsights@vaisala.info,WLS71628,0
Ceres : La Solana,emailrelay@konectgds.com,CERES_100m,0
Chbika,emailrelay@konectgds.com,CR300 Chbika,0
Chbika Lidar,emailrelay@konectgds.com,CR300 Chbika,0
Chbika Solar,emailrelay@konectgds.com,CHBIKA Solar,0
Chbika TM,emailrelay@konectgds.com,CHBIKA Mast,0
Contilly,windcubeinsights@vaisala.info,WLS71777,0
Czempin,windcubeinsights@vaisala.info,WLS72112,0
Emsbueren,windcubeinsights@vaisala.info,WLS72103,0
Eolo Austral 1: mag 2,emailrelay@konectgds.com,Eolo_Austral-1,0
ERAL-A,windcubeinsights@vaisala.info,WLS72030,0
ERO_1D,windcubeinsights@vaisala.info,WLS71514,0
ESM1,emailrelay@konectgds.com,ESM1,0
ESM2,emailrelay@konectgds.com,ESM2,0
FIA2-B,windcubeinsights@vaisala.info,WLS72026,0
Fortmülher,windcubeinsights@vaisala.info,WLS72101,0
ILLA-A,windcubeinsights@vaisala.info,WLS72027,0
Kavelstorf,windcubeinsights@vaisala.info,WLS71626,0
Laayoune,emailrelay@konectgds.com,Laayoune,0
Lagunillas,estaciones.meteo@dekra-industrial.es,LIDAR Lagunillas,0
Lagunillas_2,windcubeinsights@vaisala.info ,WLS71325 ,0
Libeccio,estaciones.meteo@dekra-industrial.es,LIDAR Libeccio,0
Libeccio_2,windcubeinsights@vaisala.info,WLS72090,0
LJU5,emailrelay@konectgds.com,LJU5,0
LJU6,emailrelay@konectgds.com,LJU6,0
Los Aguilillos,emailrelay@konectgds.com,AGUILILLOS,0
LUUR-A,windcubeinsights@vaisala.info,WLS72029,0
Magallanes-1,emailrelay@konectgds.com,MAGALLANES-1,0
Magallanes-2,emailrelay@konectgds.com,MAGALLANES-2,0
Melroeira_Lidar_1,windcubeinsights@vaisala.info,WLS71488,0
Melroeira_Lidar_1/Estremoz,emailrelay@konectgds.com,LIDAR Estremoz,0
Montecabeza2_Pos1,windcubeinsights@vaisala.info,WLS71630,0
MU1P-C,windcubeinsights@vaisala.info,WLS72060,0
MUEL,emailrelay@konectgds.com,MUEL,0
Naillat,windcubeinsights@vaisala.info,WLS72184,0
Olmedilla,windcubeinsights@vaisala.info,WLS71497,0
Orliac,windcubeinsights@vaisala.info,WLS72107,0
PEOR-A,windcubeinsights@vaisala.info,WLS72070,0
Peregiles I,windcubeinsights@vaisala.info,WLS71604,0
Porqueros,emailrelay@konectgds.com,NADARA_PORQUEROS,0
Potrillo,windcubeinsights@vaisala.info,WLS71413,0
Procina,windcubeinsights@vaisala.info,WLS72185,0
Punago-9,LIDAR Punago-9,LIDAR Punago-9,0
Punago-9_2,emailrelay@konectgds.com,WLS71502,0
Punta del viento 1 : mag 1,Punta_del_Viento-1,Punta_del_Viento-1,0
Ralea III,windcubeinsights@vaisala.info,WLS71631,0
REVA-A,windcubeinsights@vaisala.info,WLS72024,0
Rochefort,emailrelay@konectgds.com,Rochefort-Montjoyer,0
Saint-Vincent-Jalmoutiers,windcubeinsights@vaisala.info,WLS72183,0
Salsola,windcubeinsights@vaisala.info,WLS72188,0
SCHMIEDEHAUSEN,windcubeinsights@vaisala.info,WLS71609,0
SerraJoni 30,windcubeinsights@vaisala.info,WLS72088,0
SNA2-A,windcubeinsights@vaisala.info,WLS72067,0
SNA3-A,windcubeinsights@vaisala.info,WLS72113,0
Soltau,windcubeinsights@vaisala.info,WLS71629,0
Spartivento,windcubeinsights@vaisala.info,WLS72321,0
Spence1,emailrelay@konectgds.com,SPENCE1,0
Tablado-TP_a,windcubeinsights@vaisala.info,WLS72115,0
TM Olmillos_1,estaciones.meteo@dekra-industrial.es,Olmillos_1,0
Tort,emailrelay@konectgds.com,Tortoles Esqueva,0
URKP-A,windcubeinsights@vaisala.info,WLS72216,0
Valle_de_Navarra_Lidar_2A,emailrelay@konectgds.com,LIDAR Valle_Navarra-2A,0
Valle de Navarra 2A,windcubeinsights@vaisala.info ,WLS71494 ,0
Villa de Pouca-10,windcubeinsights@vaisala.info,WLS71518,0
Villalube 6B,windcubeinsights@vaisala.info,WLS71499,0
Villalube_Lidar_6A_2,LIDAR Villalube-6A,LIDAR Villalube-6A,0
WLS71627,windcubeinsights@vaisala.info,WLS71627,0
WLS7-254; Dekra,windcubeinsights@vaisala.info-254,WLS7-254,0
Zagrodno,windcubeinsights@vaisala.info,WLS72266,0
Zarzón,windcubeinsights@vaisala.info,WLS71446,0
Zx300 Unit 1148; Almazán 4B,status@support.zxlidars.com,1148,0
Zx300 Unit 1171; VilaPouca 15,status@support.zxlidars.com,1171,0
Zx300 Unit 1189; Ayora 1,status@support.zxlidars.com,1189,0
Zx300 Unit 1198; Villalube 7,status@support.zxlidars.com,1198,0
Zx300 Unit 1611; BetaWind,status@support.zxlidars.com,1611,0
